,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
20B21A4528,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,C,3,
20B21A4530,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
20B21A4538,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4550,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,E,3,
20B21A4550,R2031421,COMPILER DESIGN,19,D,3,
20B21A4556,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,D,3,
20B21A4567,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,16,F,0,
20B21A4567,R203142A,SOFTWARE ENGINEERING,18,F,0,
20B21A4568,R2031423,MACHINE LEARNING,17,D,3,
20B21A4576,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4582,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,E,3,
20B21A4596,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,15,ABSENT,0,
20B21A4596,R2031421,COMPILER DESIGN,16,F,0,
20B21A4596,R2031423,MACHINE LEARNING,18,C,3,
20B21A4596,R203142A,SOFTWARE ENGINEERING,23,ABSENT,0,
20B21A4598,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,ABSENT,0,
20B21A4598,R2031421,COMPILER DESIGN,18,ABSENT,0,
20B21A4598,R2031422,OPERATING SYSTEMS,17,ABSENT,0,
20B21A4598,R203142A,SOFTWARE ENGINEERING,20,ABSENT,0,
20B21A45A1,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,D,3,
20B21A45A2,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,C,3,
20B21A45A4,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A45A4,R2031421,COMPILER DESIGN,18,F,0,
20B21A45A4,R203142A,SOFTWARE ENGINEERING,27,D,3,
20B21A45A5,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A45A7,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A45B3,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
20B21A45B4,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,D,3,
20B21A45C0,R203142A,SOFTWARE ENGINEERING,16,F,0,
20B21A45C2,R2031421,COMPILER DESIGN,21,E,3,
20B21A45D0,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A45D1,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A45D1,R2031422,OPERATING SYSTEMS,21,F,0,
20B21A45D4,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,E,3,
20B21A45D4,R2031423,MACHINE LEARNING,20,D,3,
20B21A45D8,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,D,3,
20B21A45D9,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4616,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,24,E,3,
20B21A4616,R203146C,COMPILER DESIGN,22,E,3,
